Nombre del alimento;GRUPO;SUBGRUPO;Calorías;Humedad;Proteínas;grasas;Carbohid.;Fibra;Calcio;Fósforo;Hierro;Sodio;Potasio;Zinc;Vit. A;Vit. B1;Vit. B2;Niacina;Vit. C
;;;Kcal.;Hum(%);Prot(g);Lip(g);Glu(g);Fib.(mg);Ca(mg);P (mg);Fe (mg);Na (mg);k (mg);Zn (mg);A (mcg);B1(mg);B2(mg);PP (mg);C (mg)
VAINITA;PROTECTORES;VERDURAS;35;89,2;2,8;0,17;7,42;1,7;48;38;1,3;3;100;0,3;52;0,09;0,07;0,96;16
ZANAHORIA;PROTECTORES;VERDURAS;35;90,2;0,91;1,14;8,13;1;29;31;0,4;44;408;0,3;667;0,04;0,23;0,98;5
ZAPALLO;PROTECTORES;VERDURAS;30;90;1,12;0,1;7,55;1,3;32;34;1;0,6;480;0,2;300;0,05;0,09;0,72;10
CIRUELO;PROTECTORES;FRUTAS FRESCAS;50;85,9;0,49;0,2;13,01;0,4;12;27;0,4;1;190;0,03;15;0,04;0,06;0,45;11
COCO FRESCO;PROTECTORES;FRUTAS FRESCAS;233;54,9;1,78;12,39;30,18;12,4;46;76;2,7;8;2;1;3;0,02;0,15;0,26;0
CHIRIMOYA;PROTECTORES;FRUTAS FRESCAS;135;61,5;0,91;0,22;36,03;2;35;42;0,7;9;206;0;15;0,09;0,05;0,86;19
DAMASCO;PROTECTORES;FRUTAS FRESCAS;54;84,7;0,85;0,38;13,2;0,9;17;31;1;2;346;0,22;71;0,04;0,14;0,5;9
DURAZNO;PROTECTORES;FRUTAS FRESCAS;75;78,7;0,63;0,19;19,88;0,9;15;22;1,1;7;295;0,1;0;0,04;0,07;0,47;15
FRUTILLA;PROTECTORES;FRUTAS FRESCAS;45;87,3;0,75;0,3;11,19;1,2;30;33;1,9;0,9;180;0,09;0;0,02;0,08;0,61;80
GRANADA;PROTECTORES;FRUTAS FRESCAS;75;79;1,08;0,24;19,24;4,4;12;34;0,6;0;0;0;0;0,08;0,05;0,54;18
Maracuyá;PROTECTORES;FRUTAS FRESCAS;75;79;1,08;0,24;19,24;4,4;12;34;0,6;0;0;0;0;0,08;0,05;0,54;18
GRANADILLA;PROTECTORES;FRUTAS FRESCAS;91;73,7;2,2;0,22;22,86;4;11;66;1,6;0;0;0;7;0;0,17;1,95;7
HIGO;PROTECTORES;FRUTAS FRESCAS;85;76,1;0,94;0,25;22,15;2,3;48;25;0,6;2;180;0,25;14;0,05;0,1;0,35;5
LIMA;PROTECTORES;FRUTAS FRESCAS;31;89,4;0,41;0,51;9,34;0,8;21;16;0,6;1;100;0;3;0,02;0,04;0,3;41
LIMÓN;PROTECTORES;FRUTAS FRESCAS;30;89,2;0,63;0,55;9,43;0,5;30;24;0,5;0;0;0;10;0,04;0,06;0,58;40
LUGMA;PROTECTORES;FRUTAS FRESCAS;81;77,2;0,48;0,22;21,44;23;8;33;0,6;1;137;0;12;0,04;0,06;0,38;12
MANDARINA;PROTECTORES;FRUTAS FRESCAS;83;77,1;0,85;0,41;21,23;0,7;55;30;0,8;1,3;175;0,08;103;0,08;0,03;1,1;59
MANGO;PROTECTORES;FRUTAS FRESCAS;73;79,6;0,27;0,29;19,56;0,9;9;20;0,5;0;0;0;72;0,04;0,08;0,35;19
MANZANA;PROTECTORES;FRUTAS FRESCAS;67;81,4;0,28;0,2;17,77;1,3;9;13;0,8;1;96;0,1;7;0,04;0,06;0,31;8
MELÓN;PROTECTORES;FRUTAS FRESCAS;28;92;0,48;0,2;6,85;0,4;23;13;1,4;14;226;0,09;98;0,03;0,04;0,9;74
MEMBRILLO;PROTECTORES;FRUTAS FRESCAS;69;80,5;0,43;0,19;18,37;1,5;8;32;0,6;9;144;0;7;0,04;0,03;0,38;11
NARANJA;PROTECTORES;FRUTAS FRESCAS;45;87,2;0,68;0,21;11,51;0,6;27;27;0,7;0,3;170;0,17;8;0,04;0,04;0,42;54
PACAI;PROTECTORES;FRUTAS FRESCAS;62;82,7;0,86;0,2;15,88;0,9;6;13;0,6;0;0;0;0;0,05;0,06;0,84;17
PAPAYA;PROTECTORES;FRUTAS FRESCAS;49;85,9;0,48;0,1;12,82;0,7;24;21;0,6;0;0;0;86;0,03;0,06;0,3;56
PERA;PROTECTORES;FRUTAS FRESCAS;64;82,1;0,33;0,2;17,11;1,4;10;25;0,5;3;144;0,16;0;0,03;0,04;0,27;7
PERAMOTA;PROTECTORES;FRUTAS FRESCAS;73;79,6;0,35;0,2;19,49;2,7;27;27;0,7;0;0;0;0;0,04;0,05;0,31;5
PIÑA;PROTECTORES;FRUTAS FRESCAS;43;87,7;0,62;0,17;11,1;0,4;18;13;0,5;0,6;229;0,25;11;0,07;0,05;0,28;10
PLÁTANO GUAYAQUIL;PROTECTORES;FRUTAS FRESCAS;93;74;1,22;0,45;23,57;0,3;9;35;1,1;1;420;0,23;0;0,04;0,05;0,56;8
Plátano guineo;PROTECTORES;FRUTAS FRESCAS;93;74;1,22;0,45;23,57;0,3;9;35;1,1;1;420;0,23;0;0,04;0,05;0,56;8
PLÁTANO MANZANO;PROTECTORES;FRUTAS FRESCAS;104;71;1,27;0,32;26,88;0,46;11;30;1,3;0;0;0;28;0,05;0,07;0,85;3
PLÁTANO VERDE;PROTECTORES;FRUTAS FRESCAS;67;55,6;0,48;1,78;41,73;9,3;12;54;1;0;0;0;39;0,06;0,11;1,01;25
PLÁTANO SEDA;PROTECTORES;FRUTAS FRESCAS;77;78,3;1,18;0,2;19,84;0,5;9;38;0,8;0;0;0;9;0,07;0,26;0,98;7
PLÁTANO POSTRE;PROTECTORES;FRUTAS FRESCAS;163;54,3;1,22;0,39;43,3;2,5;8;34;0,9;1;420;0;56;0,07;0,14;0,8;10
PLÁTANO HARINA;PROTECTORES;FRUTAS FRESCAS;347;11,8;1,81;0,21;84,39;0,9;11;106;3,5;0;0;0;0;0,06;0,09;1,25;0
SANDIA;PROTECTORES;FRUTAS FRESCAS;34;90,5;0,52;0,13;8,55;0,1;12;12;8,7;4;120;0,1;35;0,04;0,1;0,24;0
TORONJA;PROTECTORES;FRUTAS FRESCAS;48;86,4;0,75;0,2;12,23;0,4;21;23;0,3;1;200;0;3;0,02;0,04;0,58;31
TAMARINDO;PROTECTORES;FRUTAS FRESCAS;290;18,5;4,89;1,65;72,06;3;118;107;2,8;0;0;0;0;0;0,7;0,71;1
TUMBO;PROTECTORES;FRUTAS FRESCAS;75;79,7;1,44;0,94;17,27;6,5;12;39;1,4;0;0;0;965;0,02;0,06;0,4;49
TUNA;PROTECTORES;FRUTAS FRESCAS;63;82,5;1,06;0,16;16,03;6,3;34;20;0,5;0;0;0;0;0,03;0,02;0,3;17
UVA BLANCA;PROTECTORES;FRUTAS FRESCAS;63;82,6;0,69;0,47;15,84;0,3;19;16;1;2;250;0,1;0;0,04;0,05;0,44;4
UVA NEGRA;PROTECTORES;FRUTAS FRESCAS;79;78,2;0,48;0,48;20,49;0,4;13;33;8;2;320;0,1;12;0,05;0,04;0,44;3
DURAZNO OREJÓN;PROTECTORES;FRUTAS SECAS Y OLEAGINOSAS;329;5,9;3,75;0,34;87,19;0,9;36;123;2,7;55;1381;0;36;0,04;0,03;0,52;31
HIGO SECO;PROTECTORES;FRUTAS SECAS Y OLEAGINOSAS;317;9,2;3,91;0,23;83,91;6,1;218;90;10,5;30;871;0,86;0;0,06;0,07;1,5;23
UVA SECA;PROTECTORES;FRUTAS SECAS Y OLEAGINOSAS;299;15,4;3;0,3;79,66;1,3;70;74;3;52;860;0,1;0;0,08;0,17;1,05;17
Pasas;PROTECTORES;FRUTAS SECAS Y OLEAGINOSAS;299;15,4;3;0,3;79,66;1,3;70;74;3;52;860;0,1;0;0,08;0,17;1,05;17
ALMENDRA;PROTECTORES;FRUTAS SECAS Y OLEAGINOSAS;600;3,9;17,43;54,24;20,94;3,1;212;425;3,2;6;860;3,1;0;0,2;0,49;3,69;0
NUEZ;PROTECTORES;FRUTAS SECAS Y OLEAGINOSAS;597;4,1;13,8;51,76;28,55;3;91;370;4,3;3;690;3;10;0,24;0,52;3,1;3
DURAZNO AL JUGO;PROTECTORES;FRUTAS EN CONSERVA;105;73,6;1,13;0,04;25;1,4;12;15;0,8;6;67;0;37;0,01;0,1;0,88;2
FRUTILLA EN LATA;PROTECTORES;FRUTAS EN CONSERVA;24;68,8;2,78;0,1;27,9;0,3;19;12;0,6;7;97;0;2;0,03;0,08;1,65;3
GUINDAS EN LATA;PROTECTORES;FRUTAS EN CONSERVA;116;70,7;2,88;0,1;25,99;0,1;17;3;1,7;3;280;0,1;19;0,02;0,06;1,78;2
PERA EN LATA;PROTECTORES;FRUTAS EN CONSERVA;117;70,5;0,19;0,02;28,11;0,7;11;7;0,7;0;0;0;18;0,02;0,07;4,12;3
PIÑA EN LATA;PROTECTORES;FRUTAS EN CONSERVA;107;73,1;0,69;0,14;25,91;0,3;13;5;0,8;1;94;0;8;0,05;0,16;0,55;1
UVA BLANCA EN LATA;PROTECTORES;FRUTAS EN CONSERVA;131;67,2;1,03;1,07;35,5;0,4;12;12;0,5;0;0;0;46;0,01;0,1;0,74;3
CAFÉ;BEBIDAS;INFUSIONES;33;91,6;0,44;0;7,86;0;15;6;0,7;0;254;0;0;0,01;0,03;0,8;0
DURAZNO SECO BEBIDA;BEBIDAS;INFUSIONES;42;39,6;0,44;0;9,98;0;0;3;0,8;0;0;0;0;0;0,02;0;0
TÉ;BEBIDAS;INFUSIONES;2;98,6;0,1;0;0,4;0;5;4;0,2;4;1800;0;0;0;0,04;0,1;0
SULTANA;BEBIDAS;INFUSIONES;300;18,6;0,6;0,86;65,6;13,7;342;139;26,6;0;0;0;0;0,12;0,34;2,5;49
Linaza molida;BEBIDAS;INFUSIONES;550;18,6;18,9;39,92;28,8;27,3;342;139;26,6;0;0;0;0;0,12;0,34;2,5;49
TE DE ZANAHORIA;BEBIDAS;INFUSIONES;370;1,9;8,43;0,51;83,02;15,1;220;58;4,8;0;0;0;1186;0,02;0,18;2,1;0
COCA COLA;BEBIDAS;GASEOSAS;88;0;0;0;22;0;0;0;0;8;8;0;0,1;0;0;0;0
Gaseosa;BEBIDAS;GASEOSAS;88;0;0;0;22;0;0;0;0;8;8;0;0,1;0;0;0;0
Coca Quina;BEBIDAS;GASEOSAS;88;0;0;0;22;0;0;0;0;8;8;0;0,1;0;0;0;0
Fanta;BEBIDAS;GASEOSAS;88;0;0;0;22;0;0;0;0;8;8;0;0,1;0;0;0;0
Papaya salvieti;BEBIDAS;GASEOSAS;88;0;0;0;22;0;0;0;0;8;8;0;0,1;0;0;0;0
Simba;BEBIDAS;GASEOSAS;88;0;0;0;22;0;0;0;0;8;8;0;0,1;0;0;0;0
Mineragua;BEBIDAS;GASEOSAS;88;0;0;0;22;0;0;0;0;8;8;0;0,1;0;0;0;0
CERVEZA PILSENER;BEBIDAS;ALCOHÓLICAS;18;95,5;1,14;0;3,26;0;0;6;0,3;5;27;0,02;23;0;0;0,27;0
BICERVECINA;BEBIDAS;ALCOHÓLICAS;26;93,4;0,62;0;5,98;0;0;17;1,1;16;33;0;0;0,02;0,16;0,19;0
CHICHA DE MAÍZ;BEBIDAS;ALCOHÓLICAS;17;95,7;0,58;0,21;3,27;0;12;25;0,6;0;0;0;0;0,04;0,15;0,24;0
VINO OPORTO;BEBIDAS;ALCOHÓLICAS;102;74,2;0,97;0;24,64;0;13;28;1,6;4;75;0,3;35;0;0;0,1;1
ZUMO DE MANDARINA;BEBIDAS;ZUMOS;56;86;0,25;0,15;13,3;0,1;13;16;0,9;0,6;170;0;22;0,08;0,31;1,07;19
ZUMO DE NARANJA;BEBIDAS;ZUMOS;64;83,6;0,42;0,17;15,5;0,1;13;15;0,7;2;180;0,2;16;0,03;0,06;1,76;38
ZUMO DE PIÑA;BEBIDAS;ZUMOS;84;78,7;0,41;0,17;20,25;1,1;13;15;0,7;8;43;0;6;0,04;0,09;1,23;5
ZUMO DE TOMATE;BEBIDAS;ZUMOS;29;90,9;0,22;8,02;7,85;0,3;13;17;0,9;230;260;0,4;22;0,02;0,1;1,6;2
ZUMO DE TORONJA;BEBIDAS;ZUMOS;60;85;0,26;0,15;14,35;0,1;13;15;0,7;7;68;0,4;10;0,04;0,16;0,82;28
CONCHITAS AL HUEVO;DIVERSOS;SOPAS EN SOBRE;367;3,4;12,93;7,07;62,93;0,7;140;165;3,6;0;0;0;58;0;0;0,91;0
CREMA DE ESPÁRRAGOS;DIVERSOS;SOPAS EN SOBRE;377;6;12,47;12,52;53,73;1,3;155;166;10,1;5315;386;0;35;0;0;0,82;0
CREMA DE TOMATE;DIVERSOS;SOPAS EN SOBRE;329;4,9;12,96;3,56;58,27;1,6;83;229;13,8;4684;1175;0;13;0;0;1,9;1
POLLO CON FIDEO;DIVERSOS;SOPAS EN SOBRE;349;5,8;14,2;5;61,75;0,2;140;185;6,9;5618;267;0;53;0;0;1,05;0
RES CON ARROZ;DIVERSOS;SOPAS EN SOBRE;343;6,4;14,99;7,23;54,61;0,3;46;118;8,6;5933;639;0;41;0;0;1,2;0
RES CON FIDEO;DIVERSOS;SOPAS EN SOBRE;340;5;13,91;6,62;56,2;0,5;108;167;4,8;0;0;0;47;0;0;1,6;0
KETCHUP;DIVERSOS;MISCELÁNEAS;126;66,1;1,9;0,02;29,64;0,2;60;33;2,8;1120;590;0;215;0,04;0,07;1,54;1
Salsa de tomate;DIVERSOS;MISCELÁNEAS;126;66,1;1,9;0,02;29,64;0,2;60;33;2,8;1120;590;0;215;0,04;0,07;1,54;1
MAYONESA;DIVERSOS;MISCELÁNEAS;748;11,5;1,1;80;5,9;0;10;30;0,4;360;24;0,4;0;0,02;0,03;0;0
MOSTAZA;DIVERSOS;MISCELÁNEAS;125;71,9;5,75;5,8;12,51;1,9;49;69;4,9;1300;130;0;201;0;0;2,5;2
VINAGRE;DIVERSOS;MISCELÁNEAS;12;0;0;0;5;0;7;10;0,5;620;89;0;0;0;0;0;0
SAL;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;40 000;0;0;0;0;0;0;0
CANELA;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canela rama;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CUBITO MAGUI;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COMINO;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PIMIENTA;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANÍS;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MANZANILLA;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trimate;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Toronjil;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hierba luisa;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mate;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADN-Hiperproteico;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;446;0;23,3;14;56,7;0;0;0;0;0;0;0;0;0;0;0;0
ENSURE;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;450;0;15,9;15,9;61,8;0;0,73;0,23;4,05;0;0;0;339;0,68;0,77;9;68
PROFIBRA-A;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;240;0;50;1;9;0;1290;0;0,05;0;0;0;2500;8,33;8,33;25;83
ADN-Convencional sin lactosa;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;446;0;16,2;18;59,8;0;300;275;4;0;0;0;396;1;1,1;10;50
ADN;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;446;0;16,2;18;59,8;0;300;275;4;0;0;0;396;1;1,1;10;50
ADN-Con fibra;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;435;0;15,5;17;54,8;6,5;300;275;4;0;0;0;396;1;1,1;10;50
ADN-Pediátrico;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;488;0;13,2;22,4;58,4;0;439;341;6;0;0;0;420;1;1,2;10;98
ADN-Diabético;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;486;0;20,5;27,5;39,2;6,8;300;275;4;0;0;0;396;1;1,1;10;50
ADN-Renal;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;501;0;18,4;25,3;49,8;0;368;179;4,5;0;0;0;90;0,4;0,5;2,6;24
HIPALEN;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;444;0;15,5;17,1;57;0;300;275;4;0;0;0;396;1;1,1;10;120
CASEINATO DE CALCIO;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;377;0;92;1;0;0;1200;800;0;0;0;0;0;0;0;0;0
PRO MOD;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;560;0;100;12;13,4;0;880;1300;0;0;0;0;0;0;0;0;0
MODULO CALORICO;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;385;0;0;0;95,6;0;0;0;0;0;0;0;0;0;0;0;0
MOD CALÓRICO;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;385;0;0;0;95,6;0;0;0;0;0;0;0;0;0;0;0;0
modulo proteico;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;365;0;90;0;0;0;1300;0;0;150;0;0;0;0;0;0;0
NODRILACK;DIETOTERAPIA;PRODUCTOS NUTROTERAPICOS;70;78,7;1,9;2,1;10,9;0;0;0;0;0;0;0;0;0;0;0;0
DESAYUNO ESCOLAR;DIVERSOS;MISCELÁNEAS;75,5;;3,3;3,5;7,7;;152;86;4,5;;;0;125;;;;1
Vitina;DIVERSOS;MISCELÁNEAS;342;;10;;74;3;500;0;7;0;0;3,5;0;0,6;0,66;8;0
DULCE DE LECHE;DIVERSOS;MISCELÁNEAS;336;19,88;8,1;6,73;62,69;0;339;191;0,4;;;0;37;0,03;0,45;0,52;9
CONFITURAS ORDINARIAS;DIVERSOS;MISCELÁNEAS;272;29;0,6;0,1;70;1;12;0;1;;;0;0;0,01;0,03;0;2
COME COME;DIVERSOS;MISCELÁNEAS;400;0;3,8;0,38;95;0,38;100;41,6;11,5;;;0;0;0;0;0;0
PIPOCAS;DIVERSOS;MISCELÁNEAS;400;0;3,9;0,4;95;0,4;41,5;100;11,4;;;0;0;0;0;0;0
BOCADITOS;DIVERSOS;MISCELÁNEAS;516;0;10,5;25,6;61,22;0,6;147,7;193;15;;;0;23,16;0;0;0;0
YOKUL;DIVERSOS;MISCELÁNEAS;26,45;0;3;0,5;6;;;;;;;0;0;0;0;0;0
Pilfrut;DIVERSOS;MISCELÁNEAS;26,45;0;3;0,5;6;;;;;;;0;0;0;0;0;0
CHICHARRONCITO;DIVERSOS;MISCELÁNEAS;516;0;10,5;25,6;61,22;0,6;147,7;193;15;;;0;23,16;0;0;0;0
PAPAS FRITAS;DIVERSOS;MISCELÁNEAS;523;0;1,26;28,3;66,36;0,3;104;33,46;0,76;;;0;0;0;0;0;0,93
HUMINTA AL HORNO;DIVERSOS;MISCELÁNEAS;235;48,15;3,93;6,44;40;1,12;11;14;1,9;;;0;7;0,08;0,15;2,86;1
EMPANADA DE QUESO;DIVERSOS;MISCELÁNEAS;354;11,74;9,66;2,15;74,05;0,52;163;116;2,4;;;0;0;0,08;0,48;7,9;1
Pizza;DIVERSOS;MISCELÁNEAS;354;11,74;9,66;2,15;74,05;0,52;163;116;2,4;;;0;0;0,08;0,48;7,9;1
SALTEÑA;DIVERSOS;MISCELÁNEAS;188;63,2;8;8,71;19,47;0,76;13;59;0,5;;;;56;0,11;0,46;1,84;3
HELADO DE CREMA;DIVERSOS;MISCELÁNEAS;145;64,82;5,13;1,6;27,46;0;154;124;1,8;;;;6;0,3;0,11;0,11;1
TORTAS;DIVERSOS;MISCELÁNEAS;360;54;8;10;62;0,03;170;0;0,4;;;;462;0,04;10;0,4;0
YUPI;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zuko;DIVERSOS;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRÓCOLI;PROTECTORES;VERDURAS;29;90,7;2,25;0,2;6;1,2;27;44;1,5;3;373;0,3;12;0,08;0,16;0,7;64
LECHE FLUIDA ENTERA;NUEVO;LECHES;65;0;3,3;3,5;5,2;0;152;86;0;0;0;0;35;0,04;0,2;0,1;1
LECHE FLUIDA DESCREMADA;NUEVO;LECHES;36;0;3,6;0,1;5,1;0;121;0;0;0;0;0;0;0,04;0,12;0,1;0
Leche Ligth;NUEVO;LECHES;36;0;3,6;0,1;5,1;0;121;0;0;0;0;0;0;0,04;0,12;0,1;0
LECHE EN POLVO ENTERA;NUEVO;LECHES;502;0;26,4;27,5;38,2;0;909;708;0,5;0;0;0;1130;0,29;1,46;0,7;6
LECHE EN POLVO DESCREMADA;NUEVO;LECHES;349;0;35;1;49,2;0;1140;1030;0,4;0;0;0;10;0,25;1,46;0,7;5
Leche ligth polvo;NUEVO;LECHES;349;0;35;1;49,2;0;1140;1030;0,4;0;0;0;10;0,25;1,46;0,7;5
QUESO FRESCO.;NUEVO;QUESOS;276;0;15,9;18,5;12,6;0;587;136;1,6;0;0;0;80;0,02;0,3;0,4;0
QUESO MADURADO;NUEVO;QUESOS;368;0;28,6;23,3;10,5;0;695;126;2,6;0;0;0;60;0,04;0,3;0,4;0
QUESO MANTECOSO;NUEVO;QUESOS;229;0;28,6;5,5;15;0;677;87;2,6;0;0;0;23;0,03;0,44;0,27;0
YOGURT ENTERO SABORIZADO;NUEVO;YOGURT;79;0;3,2;0,98;14,5;0;198;81;0,5;0;0;0;0;0,31;0,82;0;0
YOGURT ENTERO NATURAL;NUEVO;YOGURT;56;0;2,6;2,8;5,2;0;100;75;0,2;0;0;0;22;0,02;0,14;0,37;6
YOGURT DESCREMADO (LIGTH);NUEVO;YOGURT;50;0;3,4;1,7;5,2;0;120;0;0;0;0;0;70;0,04;0,18;0,1;1
Yogurt ligth;NUEVO;YOGURT;50;0;3,4;1,7;5,2;0;120;0;0;0;0;0;70;0,04;0,18;0,1;1
HUEVO ENTERO GALLINA;NUEVO;HUEVOS;136;0;13,5;7,5;2,5;0;74;161;3,4;0;0;0;134;0,1;0,23;0,11;0
HUEVO YEMA;NUEVO;HUEVOS;314;0;15,2;26,5;2,4;0;130;405;8,6;0;0;0;294;0,11;0,3;0,11;0
HUEVO CLARA GALLINA;NUEVO;HUEVOS;56;0;10,9;0,1;2,1;0;12;18;1,1;0;0;0;0;0,04;0,18;0,07;0
Clara de huevo;NUEVO;HUEVOS;56;0;10,9;0,1;2,1;0;12;18;1,1;0;0;0;0;0,04;0,18;0,07;0
CARNE DE RES MAGRA;NUEVO;CARNES Y DERIVADOS;135;0;20,2;2,9;5,8;0;8;2,21;3,8;0;0;0;76;0,06;0,2;7,53;0
CARNES GRASAS;NUEVO;CARNES Y DERIVADOS;234;0;16,8;18;0;0;6;197;2;0;0;0;0;0,45;0,17;3,2;0
Carne hueso;NUEVO;CARNES Y DERIVADOS;0;0;0;0;0;0;6;50;1;0;0;0;0;0;0;0;0
CARNES BLANCAS;NUEVO;CARNES Y DERIVADOS;257;0;18,1;19,6;0;0;17;236;2,4;0;0;0;0;0,09;0,18;7,53;0
PESCADOS SEMI-GRASOSOS;NUEVO;CARNES Y DERIVADOS;99;0;58,7;2,4;0,2;0;413;260;1,8;0;0;0;18;0,03;0,03;4,06;0
PESCADOS GRASOSOS;NUEVO;CARNES Y DERIVADOS;93;0;21;0,7;0;0;17;0;1,1;0;0;0;18;0,02;0,12;4,9;0
PESCADOS ENLATADOS;NUEVO;CARNES Y DERIVADOS;275;0;20,9;20,1;0,9;0;244;353;2,9;0;0;0;100;0,02;0,15;22,4;0
"MENUDENCIAS ""A""";NUEVO;CARNES Y DERIVADOS;121;0;17,8;4,5;1,1;0;19;221;7,8;0;0;0;1426;0,26;2,08;6,97;8
"MENUDENCIAS ""B""";NUEVO;CARNES Y DERIVADOS;163;0;12,6;10,9;2,6;0;11;218;4;0;0;0;37;3,4;3,25;2,77;3
"MENUDENCIAS ""C""";NUEVO;CARNES Y DERIVADOS;82;0;14,2;2;0,7;0;49;52;1,9;0;0;0;35;0,01;0,09;0,63;0
JAMÓN de pollo;NUEVO;CARNES Y DERIVADOS;250;0;23,5;12,8;8,3;0;18;107;2,4;0;0;0;0;0,17;0,23;6,1;0
CARNES FRÍAS;NUEVO;CARNES Y DERIVADOS;370;0;14,9;32,6;3,2;0;37;129;3,8;0;0;0;0;0,07;0,23;0,77;0
SALCHICHAS;NUEVO;CARNES Y DERIVADOS;281;0;12,6;20,1;11,4;0;43;96;4,4;0;0;0;26;0,03;0,12;2,2;0
"VEGETALES ""A"" (5%)";NUEVO;VERDURAS;27;0;1,9;0,2;5,7;0;61;38;2,4;0;0;0;198;0,08;0,14;1,03;29
"VEGETALES ""B"" (10%)";NUEVO;VERDURAS;45;0;3,2;0,3;8,9;0;51;57;3,1;0;0;0;193;0,15;0,16;0,77;55
"VEGETALES ""C"" (20%)";NUEVO;VERDURAS;100;0;1,9;0,3;23,2;0;26;57;1,8;0;0;0;64;0,06;0,12;1,12;20
TUBÉRCULOS / RAÍCES;NUEVO;VERDURAS;341;0;2,9;0,3;81,7;0;48;69;4,6;0;0;0;20;0,04;0,07;0,99;6
"FRUTAS ""A""  (10%)";NUEVO;FRUTAS;46;0;0,7;0,2;12;0;22;22;0,7;0;0;0;40;0,04;0,06;0,58;31
"FRUTAS ""B""  (15%)";NUEVO;FRUTAS;80;0;0,8;0,3;19,7;0;16;30;0,8;0;0;0;67;0,04;0,06;0,58;12
FRUTAS DESECADAS;NUEVO;FRUTAS;315;0;3,5;0,3;83,6;0;108;96;5,4;0;0;0;12;0,06;0,09;1,02;24
Ciruela desecada;NUEVO;FRUTAS;315;0;3,5;0,3;83,6;0;108;96;5,4;0;0;0;12;0,06;0,09;1,02;24
FRUTAS SECAS;NUEVO;FRUTAS;525;0;14,1;34,8;36;0;106;317;3,7;0;0;0;36;0,28;0,31;4,14;2
CEREALES  ENTEROS;NUEVO;CEREALES Y DERIVADOS;357;0;11,6;2,5;73,1;0;43;280;6,7;0;0;0;0;0,27;0,15;0,27;1
CEREALES HARINAS;NUEVO;CEREALES Y DERIVADOS;359;0;10;2,6;75,8;0;25;230;5,1;0;0;0;0;0,18;0,12;1,67;0
LAGUA CHOCLO;NUEVO;CEREALES Y DERIVADOS;359;0;10;2,6;75,8;0;25;230;5,1;0;0;0;0;0,18;0,12;1,67;0
LAGUA CHUÑO;NUEVO;CEREALES Y DERIVADOS;359;0;10;2,6;75,8;0;25;230;5,1;0;0;0;0;0,18;0,12;1,67;0
CEREALES FÉCULAS;NUEVO;CEREALES Y DERIVADOS;352;0;2,3;0,4;84,1;0;13;24;1,6;0;0;0;13;0,07;0,05;0,46;8
CEREALES FIDEOS;NUEVO;CEREALES Y DERIVADOS;355;0;11,21;0,9;73,8;0;38;119;7,4;0;0;0;17;0;0;0,68;0
MAICENA;NUEVO;CEREALES Y DERIVADOS;357;0;0,6;0,2;85,6;0;8;16;0;0;0;0;0;0;0,02;0;0
CERELAC;NUEVO;CEREALES Y DERIVADOS;423;0;11,5;7,4;77,6;0;275;225;6,2;0;0;0;750;0,2;0,3;3,8;20
